GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
solid,ie.gmit.open,CallHistory,48,0,4,0,11,0,6,0,4,0
solid,ie.gmit.open,PhoneSubscriber,50,0,0,0,16,0,10,0,10,0
solid,ie.gmit.open,InternetSessionHistory.InternetSession,23,0,0,0,8,0,4,0,4,0
solid,ie.gmit.open,ISPSubscriber,62,0,0,0,21,0,12,0,12,0
solid,ie.gmit.open,CallHistory.Call,21,0,0,0,8,0,4,0,4,0
solid,ie.gmit.open,InternetSessionHistory,48,0,4,0,11,0,6,0,4,0
solid,ie.gmit.single,User,37,21,0,0,7,10,3,6,3,6
solid,ie.gmit.single,UserController,0,34,0,2,0,9,0,3,0,2
solid,ie.gmit.single,Store,11,22,0,0,2,6,1,3,1,3
solid,ie.gmit.single,ValidateUser,8,72,7,9,3,16,7,6,0,5
